Player,Club,Price,Mins,Starts,A,CS,GC,Y,R,Saves,Bonus,Pts,Mins/Save,Mins/Pts,Pts/Price,ffs_2008_09_category,source_url,outside_pl_2007_08_flag,carrier_player_name,carrier_status,G
Modric,TOT,7.5,0,25.0,10,,,0.0,0,,0,0,,90.0,0.0,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Modric,EXCLUDE_ZERO_OR_OUTSIDE_PL,13.0
Kim Do-Heon*,WBA,4.5,0,1.0,0,,,1.0,0,,0,0,,90.0,0.0,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,True,Kim Do-Heon,EXCLUDE_ZERO_OR_OUTSIDE_PL,1.0
Teixeira*,WBA,4.5,0,24.0,4,,,1.0,0,,0,0,,90.0,0.0,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,True,Teixeira,EXCLUDE_ZERO_OR_OUTSIDE_PL,5.0
Greening*,WBA,5.0,0,46.0,5,,,8.0,0,,0,0,,90.0,0.0,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,True,Greening,EXCLUDE_ZERO_OR_OUTSIDE_PL,1.0
Koren*,WBA,5.5,0,38.0,1,,,2.0,0,,0,0,,90.0,0.0,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,True,Koren,EXCLUDE_ZERO_OR_OUTSIDE_PL,9.0
Morrison*,WBA,5.0,0,25.0,4,,,1.0,0,,0,0,,90.0,0.0,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,True,Morrison,EXCLUDE_ZERO_OR_OUTSIDE_PL,4.0
Brunt,WBA,5.0,0,22.0,7,,,1.0,0,,0,0,,90.0,0.0,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Brunt,EXCLUDE_ZERO_OR_OUTSIDE_PL,5.0
Parker,WHM,5.0,1425,17.0,0,,,3.0,0,,3,39,,36.54,7.8,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Parker,CLEAN_POSITIVE_MINUTES,1.0
Boa Morte,WHM,5.0,1494,18.0,3,,,2.0,1,,2,50,,29.88,10.0,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Boa Morte,CLEAN_POSITIVE_MINUTES,0.0
Faubert,WHM,5.5,345,4.0,0,,,1.0,0,,0,11,,31.36,2.0,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Faubert,CLEAN_POSITIVE_MINUTES,0.0
Etherington,WHM,5.5,1305,17.0,1,,,2.0,0,,8,59,,22.12,10.73,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Etherington,CLEAN_POSITIVE_MINUTES,3.0
Bowyer,WHM,5.5,1008,12.0,2,,,7.0,1,,5,50,,20.16,9.09,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Bowyer,CLEAN_POSITIVE_MINUTES,4.0
Noble,WHM,5.5,2289,25.0,3,,,6.0,0,,5,86,,26.62,15.64,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Noble,CLEAN_POSITIVE_MINUTES,3.0
Ljungberg,WHM,6.0,1854,20.0,4,,,3.0,0,,8,74,,25.05,12.33,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Ljungberg,CLEAN_POSITIVE_MINUTES,2.0
Dyer,WHM,5.5,180,2.0,0,,,0.0,0,,0,5,,36.0,0.91,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Dyer,CLEAN_POSITIVE_MINUTES,0.0
Mullins,WHM,4.5,2803,34.0,0,,,3.0,0,,1,71,,39.48,15.78,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Mullins,CLEAN_POSITIVE_MINUTES,0.0
Behrami,WHM,5.5,0,0.0,0,,,0.0,0,,0,0,,0.0,0.0,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Behrami,EXCLUDE_ZERO_OR_OUTSIDE_PL,0.0
Palacios,WIG,5.5,1730,20.0,1,,,6.0,1,,3,49,,35.31,8.91,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Palacios,CLEAN_POSITIVE_MINUTES,0.0
Kilbane,WIG,5.0,2962,33.0,1,,,2.0,1,,7,86,,34.44,17.2,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Kilbane,CLEAN_POSITIVE_MINUTES,1.0
Koumas,WIG,5.5,1985,21.0,4,,,1.0,1,,18,86,,23.08,15.64,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Koumas,CLEAN_POSITIVE_MINUTES,1.0
Sibierski,WIG,5.0,1023,10.0,1,,,1.0,0,,2,64,,15.98,12.8,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Sibierski,CLEAN_POSITIVE_MINUTES,4.0
Brown,WIG,4.5,2473,27.0,0,,,11.0,0,,6,62,,39.89,13.78,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Brown,CLEAN_POSITIVE_MINUTES,0.0
Valencia,WIG,6.0,2711,30.0,4,,,5.0,0,,12,108,,25.1,18.0,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Valencia,CLEAN_POSITIVE_MINUTES,3.0
De Ridder,WIG,4.5,579,6.0,1,,,1.0,0,,3,21,,27.57,4.67,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,De Ridder,CLEAN_POSITIVE_MINUTES,0.0
Cattermole,WIG,5.0,1002,11.0,0,,,5.0,0,,3,37,,27.08,7.4,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Cattermole,CLEAN_POSITIVE_MINUTES,1.0
Kapo,WIG,5.5,2019,23.0,0,,,5.0,0,,8,76,,26.57,13.82,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Kapo,CLEAN_POSITIVE_MINUTES,5.0
