Player,Club,Price,Mins,Starts,A,CS,GC,Y,R,Saves,Bonus,Pts,Mins/Save,Mins/Pts,Pts/Price,ffs_2008_09_category,source_url,outside_pl_2007_08_flag,carrier_player_name,carrier_status,G,name_norm,launch_match_status,launch_match_method,launch_position,launch_player,launch_team,points_2006_07,start_price_m,launch_source_url,expected_later_addition
Emerton,BLA,5.5,2752,32.0,1,6.0,41.0,2.0,1,,0,82,,33.56,14.91,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Emerton,CLEAN_POSITIVE_MINUTES,1.0,emerton,MATCHED,EXACT_DISPLAY_NAME,DEF,Emerton,Blackburn,82.0,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Warnock,BLA,5.5,3283,37.0,3,8.0,42.0,8.0,0,,1,103,,31.87,18.73,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Warnock,CLEAN_POSITIVE_MINUTES,1.0,warnock,MATCHED,EXACT_DISPLAY_NAME,DEF,Warnock,Blackburn,36.0,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Samba,BLA,5.5,2891,32.0,1,6.0,44.0,10.0,1,,11,90,,32.12,16.36,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Samba,CLEAN_POSITIVE_MINUTES,2.0,samba,MATCHED,EXACT_DISPLAY_NAME,DEF,Samba,Blackburn,41.0,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Ooijer,BLA,5.0,2026,23.0,0,4.0,25.0,2.0,0,,1,59,,34.34,11.8,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Ooijer,CLEAN_POSITIVE_MINUTES,0.0,ooijer,MATCHED,EXACT_DISPLAY_NAME,DEF,Ooijer,Blackburn,46.0,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Nelsen,BLA,5.0,1934,22.0,0,6.0,31.0,3.0,2,,4,52,,37.19,10.4,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Nelsen,CLEAN_POSITIVE_MINUTES,0.0,nelsen,MATCHED,EXACT_DISPLAY_NAME,DEF,Nelsen,Blackburn,24.0,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Samuel,BOL,4.5,1312,14.0,0,4.0,23.0,1.0,0,,0,40,,32.8,8.89,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Samuel,CLEAN_POSITIVE_MINUTES,0.0,samuel,MATCHED,EXACT_DISPLAY_NAME,DEF,Samuel,Bolton,4.0,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Gardner,BOL,4.5,2223,25.0,0,7.0,34.0,2.0,0,,2,66,,33.68,14.67,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Gardner,CLEAN_POSITIVE_MINUTES,0.0,gardner,MATCHED,EXACT_DISPLAY_NAME+TEAM_TIEBREAK,DEF,Gardner,Bolton,23.0,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Hunt,BOL,4.0,1096,13.0,0,3.0,16.0,6.0,0,,0,27,,40.59,6.75,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Hunt,CLEAN_POSITIVE_MINUTES,0.0,hunt,MATCHED,EXACT_DISPLAY_NAME+TEAM_TIEBREAK,DEF,Hunt,Bolton,91.0,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
O’Brien A,BOL,4.5,2821,32.0,0,11.0,37.0,5.0,0,,8,99,,28.49,22.0,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,O’Brien A,CLEAN_POSITIVE_MINUTES,0.0,obriena,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Meite,BOL,4.0,1800,21.0,0,5.0,31.0,1.0,0,,2,50,,36.0,12.5,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Meite,CLEAN_POSITIVE_MINUTES,0.0,meite,MATCHED,EXACT_DISPLAY_NAME,DEF,Meite,Bolton,101.0,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Steinsson,BOL,4.5,1391,15.0,2,7.0,18.0,2.0,0,,1,58,,23.98,12.89,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Steinsson,CLEAN_POSITIVE_MINUTES,0.0,steinsson,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Cahill,BOL,4.5,1193,14.0,1,5.0,19.0,0.0,0,,6,50,,23.86,11.11,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Cahill,CLEAN_POSITIVE_MINUTES,0.0,cahill,MATCHED,EXACT_DISPLAY_NAME+CATEGORY_TIEBREAK,DEF,Cahill,Aston Villa,51.0,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Bridge,CHE,5.5,818,9.0,1,5.0,4.0,0.0,0,,0,43,,19.02,7.82,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Bridge,CLEAN_POSITIVE_MINUTES,0.0,bridge,MATCHED,EXACT_DISPLAY_NAME,DEF,Bridge,Chelsea,95.0,6.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Carvalho,CHE,6.5,1745,19.0,0,13.0,14.0,6.0,1,,17,101,,17.28,15.54,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Carvalho,CLEAN_POSITIVE_MINUTES,1.0,carvalho,MATCHED,EXACT_DISPLAY_NAME,DEF,Carvalho,Chelsea,145.0,7.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Terry,CHE,7.5,1895,21.0,1,12.0,13.0,6.0,0,,7,97,,19.54,12.93,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Terry,CLEAN_POSITIVE_MINUTES,1.0,terry,MATCHED,EXACT_DISPLAY_NAME,DEF,Terry,Chelsea,139.0,7.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Ferreira,CHE,6.0,1292,15.0,1,8.0,14.0,1.0,0,,0,61,,21.18,10.17,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Ferreira,CLEAN_POSITIVE_MINUTES,0.0,ferreira,MATCHED,EXACT_DISPLAY_NAME,DEF,Ferreira,Chelsea,73.0,6.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Alex,CHE,6.0,2071,23.0,2,13.0,15.0,4.0,0,,4,116,,17.85,19.33,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Alex,CLEAN_POSITIVE_MINUTES,2.0,alex,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Belletti,CHE,6.0,1919,21.0,1,14.0,8.0,5.0,0,,3,112,,17.13,18.67,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Belletti,CLEAN_POSITIVE_MINUTES,2.0,belletti,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Cole A,CHE,6.5,2413,27.0,1,14.0,22.0,4.0,1,,4,109,,22.14,16.77,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Cole A,CLEAN_POSITIVE_MINUTES,1.0,colea,MATCHED,EXACT_DISPLAY_NAME,DEF,Cole A,Chelsea,79.0,6.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Hibbert,EVE,5.0,1926,23.0,1,5.0,24.0,3.0,1,,3,61,,31.57,12.2,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Hibbert,CLEAN_POSITIVE_MINUTES,0.0,hibbert,MATCHED,EXACT_DISPLAY_NAME,DEF,Hibbert,Everton,26.0,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Neville,EVE,6.0,3238,37.0,2,13.0,32.0,4.0,1,,6,135,,23.99,22.5,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Neville,CLEAN_POSITIVE_MINUTES,2.0,neville,MATCHED,EXACT_DISPLAY_NAME+TEAM_TIEBREAK,DEF,Neville,Everton,108.0,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
