archive_id,official_name,fpl_minutes,fpl_points,canonical_playerId,canonical_name,raw_minutes,method,score
289,Shaun Wright-Phillips,205,9,1212,Shaun Wright-Phillips,202.0,EXACT_NORMALIZED,1.0
290,Joey Barton,2878,131,15276,Joey Barton,2878.0,EXACT_NORMALIZED,1.0
296,Kieron Dyer,602,20,1840,Kieron Dyer,608.0,EXACT_NORMALIZED,1.0
298,Ji-Sung Park,1080,74,12882,Park Ji-Sung,1084.0,TOKEN_ORDER,0.99
299,Bobby Zamora,757,63,4570,Bobby Zamora,758.0,EXACT_NORMALIZED,1.0
304,DJ Campbell,2625,128,19645,DJ Campbell,2628.0,EXACT_NORMALIZED,1.0
306,Andrew Johnson,1560,61,1195,Andrew Johnson,1549.0,EXACT_NORMALIZED,1.0
316,Nicky Shorey,2314,43,5750,Nicky Shorey,2311.0,EXACT_NORMALIZED,1.0
327,Danny Guthrie,949,28,37639,Danny Guthrie,951.0,EXACT_NORMALIZED,1.0
330,Jason Roberts,1489,73,3118,Jason Roberts,1471.0,EXACT_NORMALIZED,1.0
348,Jason Puncheon,647,32,19197,Jason Puncheon,648.0,EXACT_NORMALIZED,1.0
355,Asmir Begovic,2520,108,40349,Asmir Begovic,2520.0,EXACT_NORMALIZED,1.0
356,Thomas Sorensen,900,27,1945,Thomas Sørensen,900.0,FUZZY_STRICT,0.944
357,Danny Collins,2030,48,19393,Danny Collins,2031.0,EXACT_NORMALIZED,1.0
358,Danny Higginbotham,844,39,2399,Danny Higginbotham,842.0,EXACT_NORMALIZED,1.0
359,Andy Wilkinson,1746,62,19714,Andy Wilkinson,1752.0,EXACT_NORMALIZED,1.0
360,Ryan Shawcross,3196,92,37869,Ryan Shawcross,3196.0,EXACT_NORMALIZED,1.0
361,Robert Huth,3110,138,12413,Robert Huth,3111.0,EXACT_NORMALIZED,1.0
362,Matthew Upson,2470,56,1640,Matt Upson,2473.0,FUZZY_STRICT,0.8872
364,Marc Wilson,1855,56,32318,Marc Wilson,1856.0,EXACT_NORMALIZED,1.0
365,Dean Whitehead,2902,93,5589,Dean Whitehead,2897.0,EXACT_NORMALIZED,1.0
366,Jermaine Pennant,2015,108,3658,Jermaine Pennant,2030.0,EXACT_NORMALIZED,1.0
367,Matthew Etherington,2519,124,2570,Matthew Etherington,2529.0,EXACT_NORMALIZED,1.0
368,Glenn Whelan,1357,50,12150,Glenn Whelan,1347.0,EXACT_NORMALIZED,1.0
369,Salif Diao,236,7,6769,Salif Diao,235.0,EXACT_NORMALIZED,1.0
370,Rory Delap,2956,88,1679,Rory Delap,2960.0,EXACT_NORMALIZED,1.0
371,Wilson Palacios,1226,32,34296,Wilson Palacios,1222.0,EXACT_NORMALIZED,1.0
373,Ryan Shotton,52,2,45158,Ryan Shotton,50.0,EXACT_NORMALIZED,1.0
374,Jonathan Walters,2341,109,12813,Jonathan Walters,2342.0,EXACT_NORMALIZED,1.0
375,Kenwyne Jones,2782,121,18215,Kenwyne Jones,2794.0,EXACT_NORMALIZED,1.0
376,Mamady Sidibe,40,2,10370,Mamady Sidibe,40.0,EXACT_NORMALIZED,1.0
377,Peter Crouch,1945,92,3773,Peter Crouch,1932.0,EXACT_NORMALIZED,1.0
378,Cameron Jerome,2647,98,18804,Cameron Jerome,2657.0,EXACT_NORMALIZED,1.0
380,Simon Mignolet,2070,83,66797,Simon Mignolet,2070.0,EXACT_NORMALIZED,1.0
381,Titus Bramble,2002,66,1131,Titus Bramble,2001.0,EXACT_NORMALIZED,1.0
382,Marcos Angeleri,9,2,55658,Marcos Angeleri,5.0,EXACT_NORMALIZED,1.0
383,Michael Turner,1305,39,15864,Michael Turner,1305.0,EXACT_NORMALIZED,1.0
384,Phil Bardsley,2820,123,17997,Phil Bardsley,2823.0,EXACT_NORMALIZED,1.0
385,John O'Shea,1541,71,3736,John O'Shea,1541.0,EXACT_NORMALIZED,1.0
386,Wes Brown,429,6,1841,Wes Brown,426.0,EXACT_NORMALIZED,1.0
387,Louis Laing,4,1,97580,Louis Laing,2.0,EXACT_NORMALIZED,1.0
389,Carlos Cuellar,894,23,17468,Carlos Cuellar,894.0,EXACT_NORMALIZED,1.0
390,Lee Cattermole,1921,44,28448,Lee Cattermole,1921.0,EXACT_NORMALIZED,1.0
391,David Meyler,259,5,53371,David Meyler,261.0,EXACT_NORMALIZED,1.0
392,Kieran Richardson,2039,80,15073,Kieran Richardson,2040.0,EXACT_NORMALIZED,1.0
393,Jack Colback,589,19,58771,Jack Colback,583.0,EXACT_NORMALIZED,1.0
394,Ahmed Elmohamady,2457,109,37339,Ahmed El Mohamady,2453.0,FUZZY_STRICT,0.9702
395,Sebastian Larsson,2833,116,19057,Sebastian Larsson,2833.0,EXACT_NORMALIZED,1.0
396,Craig Gardner,2216,92,28468,Craig Gardner,2219.0,EXACT_NORMALIZED,1.0
397,David Vaughan,3150,110,7631,David Vaughan,3150.0,EXACT_NORMALIZED,1.0
399,Stephane Sessegnon,1183,51,34392,Stéphane Sessegnon,1182.0,EXACT_NORMALIZED,1.0
400,Craig Lynch,30,2,96114,Craig Lynch,28.0,EXACT_NORMALIZED,1.0
401,Ryan Noble,66,3,80061,Ryan Noble,61.0,EXACT_NORMALIZED,1.0
402,Fraizer Campbell,225,8,28541,Fraizer Campbell,225.0,EXACT_NORMALIZED,1.0
415,Wayne Routledge,996,34,11829,Wayne Routledge,994.0,EXACT_NORMALIZED,1.0
431,Heurelho Gomes,2700,108,18656,Heurelho Gomes,2700.0,EXACT_NORMALIZED,1.0
432,Carlo Cudicini,720,24,1708,Carlo Cudicini,720.0,EXACT_NORMALIZED,1.0
433,Brad Friedel,3420,111,1803,Brad Friedel,3420.0,EXACT_NORMALIZED,1.0
434,Ledley King,493,22,1934,Ledley King,494.0,EXACT_NORMALIZED,1.0
435,Michael Dawson,2160,77,12679,Michael Dawson,2160.0,EXACT_NORMALIZED,1.0
436,Benoit Assou-Ekotto,2569,81,28146,Benoit Assou-Ekotto,2571.0,EXACT_NORMALIZED,1.0
437,Younes Kaboul,1632,46,37742,Younes Kaboul,1634.0,EXACT_NORMALIZED,1.0
438,William Gallas,2339,56,6254,William Gallas,2339.0,EXACT_NORMALIZED,1.0
445,Rafael Van der Vaart,2222,165,4611,Rafael van der Vaart,2238.0,EXACT_NORMALIZED,1.0
446,Luka Modric,2794,125,37055,Luka Modric,2800.0,EXACT_NORMALIZED,1.0
447,Aaron Lennon,2361,99,17349,Aaron Lennon,2365.0,EXACT_NORMALIZED,1.0
448,Gareth Bale,2447,118,36903,Gareth Bale,2451.0,EXACT_NORMALIZED,1.0
449,Danny Rose,351,17,38290,Danny Rose,351.0,EXACT_NORMALIZED,1.0
450,Tom Huddlestone,1162,46,15109,Tom Huddlestone,1165.0,EXACT_NORMALIZED,1.0
452,Scott Parker,2738,119,1411,Scott Parker,2737.0,EXACT_NORMALIZED,1.0
455,Jermaine Jenas,1322,39,10451,Jermaine Jenas,1320.0,EXACT_NORMALIZED,1.0
456,Steven Pienaar,2060,66,7525,Steven Pienaar,2068.0,EXACT_NORMALIZED,1.0
458,Jermain Defoe,1479,56,7958,Jermain Defoe,1480.0,EXACT_NORMALIZED,1.0
459,Dos Santos Giovani,45,3,40275,Giovani dos Santos,42.0,TOKEN_ORDER,0.99
462,Boaz Myhill,540,12,12086,Boaz Myhill,540.0,EXACT_NORMALIZED,1.0
463,Ben Foster,3369,153,9089,Ben Foster,3371.0,EXACT_NORMALIZED,1.0
465,Gabriel Tamas,2040,37,27348,Gabriel Tamas,2037.0,EXACT_NORMALIZED,1.0
466,James Hurst,90,1,76358,James Hurst,90.0,EXACT_NORMALIZED,1.0
467,Gonzalo Jara Reyes,2104,39,37269,Gonzalo Jara,2107.0,MANUAL_ALIAS,0.98
468,Jonas Olsson,2123,62,39253,Jonas Olsson,2125.0,EXACT_NORMALIZED,1.0
472,Liam Ridgewell,3173,104,14278,Liam Ridgewell,3175.0,EXACT_NORMALIZED,1.0
473,George Thorne,31,1,79843,George Thorne,30.0,EXACT_NORMALIZED,1.0
474,Graham Dorrans,1414,46,20141,Graham Dorrans,1422.0,EXACT_NORMALIZED,1.0
475,Steven Reid,1288,61,3332,Steven Reid,1274.0,EXACT_NORMALIZED,1.0
476,Jerome Thomas,2569,105,12765,Jerome Thomas,2587.0,EXACT_NORMALIZED,1.0
477,James Morrison,2268,89,18008,James Morrison,2281.0,EXACT_NORMALIZED,1.0
478,Youssouf Mulumbu,2850,110,39895,Youssouf Mulumbu,2861.0,EXACT_NORMALIZED,1.0
479,Chris Brunt,3012,130,19151,Chris Brunt,3014.0,EXACT_NORMALIZED,1.0
480,Zoltan Gera,1118,48,18430,Zoltán Gera,1108.0,EXACT_NORMALIZED,1.0
485,Peter Odemwingie,2680,171,26900,Peter Odemwingie,2682.0,EXACT_NORMALIZED,1.0
486,Marc-Antoine Fortune,1119,45,14279,Marc-Antoine Fortuné,1114.0,EXACT_NORMALIZED,1.0
487,Simon Cox,772,30,27440,Simon Cox,768.0,EXACT_NORMALIZED,1.0
489,Jussi Jaaskelainen,3096,109,1344,Jussi Jääskeläinen,3096.0,EXACT_NORMALIZED,1.0
492,Winston Reid,407,5,48717,Winston Reid,402.0,EXACT_NORMALIZED,1.0
495,James Tomkins,1579,41,49413,James Tomkins,1582.0,EXACT_NORMALIZED,1.0
497,Jack Collison,199,5,49414,Jack Collison,199.0,EXACT_NORMALIZED,1.0
498,Matthew Taylor,1922,73,3289,Matthew Taylor,1924.0,EXACT_NORMALIZED,1.0
499,Mark Noble,2140,78,18073,Mark Noble,2144.0,EXACT_NORMALIZED,1.0
501,Gary O'Neil,589,19,5716,Gary O'Neil,592.0,EXACT_NORMALIZED,1.0
502,Kevin Nolan,2651,140,5306,Kevin Nolan,2658.0,EXACT_NORMALIZED,1.0
503,Mohamed Diame,2633,79,28147,Mohamed Diamé,2639.0,EXACT_NORMALIZED,1.0
507,Carlton Cole,2120,89,12799,Carlton Cole,2115.0,EXACT_NORMALIZED,1.0
511,Antolin Alcaraz,3028,87,43035,Antolin Alcaraz,3029.0,EXACT_NORMALIZED,1.0
512,Ronnie Stam,1579,47,16234,Ronnie Stam,1584.0,EXACT_NORMALIZED,1.0
513,Maynor Figueroa,2808,71,34285,Maynor Figueroa,2812.0,EXACT_NORMALIZED,1.0
514,Emmerson Boyce,1669,55,3296,Emmerson Boyce,1672.0,EXACT_NORMALIZED,1.0
515,Gary Caldwell,1975,40,11911,Gary Caldwell,1977.0,EXACT_NORMALIZED,1.0
517,James McArthur,557,21,50471,James McArthur,542.0,EXACT_NORMALIZED,1.0
518,James McCarthy,1976,75,50472,James McCarthy,1982.0,EXACT_NORMALIZED,1.0
519,Jordi Gomez,720,28,50023,Jordi Gómez,725.0,EXACT_NORMALIZED,1.0
520,Ben Watson,2124,85,16045,Ben Watson,2122.0,EXACT_NORMALIZED,1.0
521,Victor Moses,815,42,49013,Victor Moses,812.0,EXACT_NORMALIZED,1.0
522,David Jones,951,30,19556,David Jones,955.0,EXACT_NORMALIZED,1.0
525,Jean Beausejour,895,36,33298,Jean Beausejour,895.0,EXACT_NORMALIZED,1.0
526,Franco Di Santo,929,47,49724,Franco Di Santo,912.0,EXACT_NORMALIZED,1.0
527,Conor Sammon,214,12,55415,Conor Sammon,209.0,EXACT_NORMALIZED,1.0
528,Callum McManaman,14,3,61538,Callum McManaman,12.0,EXACT_NORMALIZED,1.0
540,Mauro Boselli,496,11,49305,Mauro Boselli,494.0,EXACT_NORMALIZED,1.0
