archive_id,first_name,second_name,web_name,current_team,current_type,element_type_id,history_status,season,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,ea_ppi,end_cost_tenths,end_price_m,total_points,source_path
122,Stephen,Kelly,Kelly,Reading,Defender,2,POSITIVE_MINUTES,2010/11,729,0,0,2,8,0,0,0,0,0,0,0,0,42,4.2,23,20_5_2013/122
123,Aaron,Hughes,Hughes,Fulham,Defender,2,POSITIVE_MINUTES,2010/11,3404,1,1,14,43,0,0,0,0,0,0,3,0,50,5.0,129,20_5_2013/123
124,Brede,Hangeland,Hangeland,Fulham,Defender,2,POSITIVE_MINUTES,2010/11,3330,6,1,13,43,1,0,0,6,0,0,12,0,59,5.9,154,20_5_2013/124
125,Chris,Baird,Baird,Fulham,Defender,2,POSITIVE_MINUTES,2010/11,2383,2,1,10,30,0,0,0,5,0,0,4,0,47,4.7,99,20_5_2013/125
127,John Arne,Riise,Riise,Fulham,Defender,2,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/127
128,Sascha,Riether,Riether,Fulham,Defender,2,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/128
129,Steve,Sidwell,Sidwell,Fulham,Midfielder,3,POSITIVE_MINUTES,2010/11,1063,2,2,5,11,0,0,0,4,0,0,2,0,47,4.7,45,20_5_2013/129
130,Damien,Duff,Duff,Fulham,Midfielder,3,POSITIVE_MINUTES,2010/11,1876,4,2,9,20,0,0,0,3,0,0,14,0,61,6.1,91,20_5_2013/130
131,Dickson,Etuhu,Etuhu,Fulham,Midfielder,3,POSITIVE_MINUTES,2010/11,1971,2,2,7,27,0,0,0,3,0,0,7,0,43,4.3,76,20_5_2013/131
132,Clint,Dempsey,Dempsey,Tottenham,Midfielder,3,POSITIVE_MINUTES,2010/11,3091,12,3,12,41,0,0,1,5,0,0,23,0,74,7.4,168,20_5_2013/132
133,Simon,Davies,Davies,Fulham,Midfielder,3,POSITIVE_MINUTES,2010/11,2213,4,4,9,29,0,0,0,0,0,0,6,0,45,4.5,101,20_5_2013/133
134,Marcel,Gecov,Gecov,Fulham,Midfielder,3,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/134
135,Pajtim,Kasami,Kasami,Fulham,Midfielder,3,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/135
136,Kerim,Frei,Frei,Fulham,Midfielder,3,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/136
137,Alex,Kacaniklic,Kacaniklic,Fulham,Midfielder,3,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/137
138,Mahamadou,Diarra,Diarra,Fulham,Midfielder,3,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/138
139,Mousa,Dembele,Dembele,Tottenham,Midfielder,3,POSITIVE_MINUTES,2010/11,1916,3,3,7,27,0,0,0,0,0,0,15,0,47,4.7,81,20_5_2013/139
140,Bryan,Ruiz,Ruiz,Fulham,Forward,4,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/140
141,Marcello,Trotta,Trotta,Fulham,Forward,4,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/141
142,Mladen,Petric,Petric,Fulham,Forward,4,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/142
143,Hugo,Rodallega,Rodallega,Fulham,Forward,4,POSITIVE_MINUTES,2010/11,3025,9,2,8,54,0,0,0,4,1,0,18,0,54,5.4,123,20_5_2013/143
144,Jose,Reina,Reina,Liverpool,Goalkeeper,1,POSITIVE_MINUTES,2010/11,3420,0,0,14,44,1,0,0,4,0,106,2,0,61,6.1,135,20_5_2013/144
145,Alexander,Doni,Doni,Liverpool,Goalkeeper,1,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/145
146,Brad,Jones,Jones,Liverpool,Goalkeeper,1,ZERO_MINUTES,2010/11,0,0,0,0,0,0,0,0,0,0,0,0,0,49,4.9,0,20_5_2013/146
147,Danny,Wilson,Wilson,Liverpool,Defender,2,POSITIVE_MINUTES,2010/11,157,0,0,0,5,0,0,0,1,0,0,0,0,44,4.4,1,20_5_2013/147
148,Jack,Robinson,Robinson,Liverpool,Defender,2,POSITIVE_MINUTES,2010/11,147,0,0,1,1,0,0,0,1,0,0,0,0,40,4.0,7,20_5_2013/148
149,Jon,Flanagan,Flanagan,Liverpool,Defender,2,POSITIVE_MINUTES,2010/11,620,0,0,3,6,0,0,0,3,0,0,0,0,45,4.5,21,20_5_2013/149
